File No,Proposed Rule ID,Proposed Rule Date,Proposed Rule Text,Final Rule ID,Final Rule Date,Final Rule Text
S7-40-11,34-65543,10/12/2011,https://www.sec.gov/rules/proposed/2011/34-65543.pdf,,,
S7-38-11,34-65355,09/19/2011,https://www.sec.gov/rules/proposed/2011/34-65355.pdf,,,
S7-31-11,33-9251,08/08/2011,https://www.sec.gov/rules/proposed/2011/33-9251.pdf,,,
S7-08-10,33-9244,07/26/2011,https://www.sec.gov/rules/proposed/2011/33-9244.pdf,,,
S7-25-11,34-64766,06/29/2011,https://www.sec.gov/rules/proposed/2011/34-64766.pdf,,,
S7-23-11,34-64676,06/15/2011,https://www.sec.gov/rules/proposed/2011/34-64676.pdf,,,
S7-22-11,33-9222,06/09/2011,https://www.sec.gov/rules/proposed/2011/33-9222.pdf,,,
S7-14-11,34-64603,06/06/2011,https://www.sec.gov/rules/proposed/2011/34-64603.pdf,,,
S7-16-11,33-9204A,06/01/2011,https://www.sec.gov/rules/proposed/2011/33-9204a.pdf,,,
S7-21-11,33-9211,05/25/2011,https://www.sec.gov/rules/proposed/2011/33-9211.pdf,,,
S7-19-11,PA-45,05/18/2011,https://www.sec.gov/rules/proposed/2011/pa-45.pdf,,,
S7-18-11,34-64514,05/18/2011,https://www.sec.gov/rules/proposed/2011/34-64514.pdf,,,
S7-17-11,IA-3198,05/10/2011,https://www.sec.gov/rules/proposed/2011/ia-3198.pdf,,,
S7-16-11,33-9204,04/29/2011,https://www.sec.gov/rules/proposed/2011/33-9204.pdf,,,
S7-13-11,33-9203,04/29/2011,https://www.sec.gov/rules/proposed/2011/33-9203.pdf,,,
S7-15-11,34-64352,04/27/2011,https://www.sec.gov/rules/proposed/2011/34-64352.pdf,,,
S7-14-11,34-64148,03/30/2011,https://www.sec.gov/rules/proposed/2011/34-64148.pdf,,,
S7-13-11,33-9199,03/30/2011,https://www.sec.gov/rules/proposed/2011/33-9199.pdf,,,
S7-12-11,34-64140,03/29/2011,https://www.sec.gov/rules/proposed/2011/34-64140.pdf,,,
S7-11-11,34-64099,03/18/2011,https://www.sec.gov/rules/proposed/2011/34-64099.pdf,,,
S7-10-11,34-64087,03/17/2011,https://www.sec.gov/rules/proposed/2011/34-64087.pdf,,,
S7-27-10,34-64018,03/03/2011,https://www.sec.gov/rules/proposed/2011/34-64018.pdf,,,
S7-08-11,34-64017,03/03/2011,https://www.sec.gov/rules/proposed/2011/34-64017.pdf,,,
S7-07-11,33-9193,03/03/2011,https://www.sec.gov/rules/proposed/2011/33-9193.pdf,,,
S7-18-08,33-9186,02/09/2011,https://www.sec.gov/rules/proposed/2011/33-9186.pdf,,,
S7-06-11,34-63825,02/02/2011,https://www.sec.gov/rules/proposed/2011/34-63825.pdf,,,
S7-42-10,34-63795,01/28/2011,https://www.sec.gov/rules/proposed/2011/34-63795.pdf,,,
S7-41-10,33-9179,01/28/2011,https://www.sec.gov/rules/proposed/2011/33-9179.pdf,,,
S7-40-10,34-63793,01/28/2011,https://www.sec.gov/rules/proposed/2011/34-63793.pdf,,,
S7-05-11,IA-3145,01/26/2011,https://www.sec.gov/rules/proposed/2011/ia-3145.pdf,,,
S7-04-11,33-9177,01/25/2011,https://www.sec.gov/rules/proposed/2011/33-9177.pdf,,,
S7-03-11,34-63727,01/14/2011,https://www.sec.gov/rules/proposed/2011/34-63727.pdf,,,
S7-02-11,34-63652,01/06/2011,https://www.sec.gov/rules/proposed/2011/34-63652.pdf,,,
S7-08-12,34-68071,10/18/2012,https://www.sec.gov/rules/proposed/2012/34-68071.pdf,,,
S7-23-07,IA-3483,10/09/2012,https://www.sec.gov/rules/proposed/2012/ia-3483.pdf,,,
S7-07-12,33-9354,08/29/2012,https://www.sec.gov/rules/proposed/2012/33-9354.pdf,,,
S7-08-07,34-66910,05/03/2012,https://www.sec.gov/rules/proposed/2012/34-66910.pdf,,,
S7-12-10,33-9309,04/03/2012,https://www.sec.gov/rules/proposed/2012/33-9309.pdf,,,
S7-02-12,IC-29969,02/27/2012,https://www.sec.gov/rules/proposed/2012/ic-29969.pdf,,,
